,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-05-27,28.21,21.84,38.15,39.15,129.4,43.64,38.88,27.02,18.09,42.82,23.83,38.66,132.98,28.43,27.37,44.49,11.29,25.56,12.42,77.1,20.03,34.09,20.43,50.27,13.1,25.46,95.45,55.93,22.32,23.52,27.32,42.73,31.38,32.86,10.73,27.48,19.19,20.74,17.33,22.43,17.78,5.14,10.05,76.47,44.94,68.91,37.86,28.14,49.29,31.88,10.76,6.46,6.17,14.94,61.36,31.8,50.12,17.16,37.83,20.82
2009-05-28,28.94,22.58,38.57,39.82,131.36,44.52,40.04,26.85,18.37,43.18,24.22,39.62,137.38,28.64,27.44,44.7,11.46,25.73,12.45,77.65,20.46,33.78,20.54,50.73,13.0,26.05,97.09,57.01,22.96,23.72,27.93,43.52,30.97,33.15,11.12,27.65,19.65,20.18,17.59,22.74,18.44,5.35,10.12,79.07,45.65,70.42,38.23,28.93,50.46,32.21,11.11,6.48,6.15,15.09,62.19,33.63,50.39,17.43,38.15,20.65
2009-05-29,29.08,23.1,38.53,40.3,132.08,45.42,39.81,27.02,18.77,43.45,25.42,40.46,137.31,29.53,27.06,44.87,11.71,26.23,12.87,77.99,20.86,34.12,21.53,51.22,12.61,26.42,98.56,57.75,23.63,24.3,28.08,44.71,31.75,33.17,11.09,27.98,19.54,20.58,17.71,23.0,18.88,5.53,10.09,79.7,45.08,70.97,38.17,29.03,50.33,31.89,11.19,6.34,6.18,15.84,62.3,33.85,51.13,17.42,37.88,20.62
2009-06-01,30.39,24.16,39.6,42.86,135.53,46.36,39.93,27.42,19.23,44.79,26.66,41.01,137.08,31.08,28.29,45.63,12.04,27.34,12.51,83.05,22.04,34.4,21.47,53.18,12.75,27.44,100.5,59.95,23.57,25.52,28.84,46.12,33.62,33.15,11.03,27.48,20.03,21.47,18.59,23.47,19.25,5.9,10.38,81.26,46.31,71.42,38.7,29.77,52.46,33.42,11.78,6.5,6.36,16.58,64.47,33.13,51.88,18.36,38.64,21.07
2009-06-02,30.41,22.97,39.28,44.2,135.66,48.31,39.72,27.22,19.23,45.13,26.68,41.87,135.94,31.45,28.72,45.04,11.99,28.0,12.7,84.93,21.94,33.93,21.75,53.79,13.25,27.3,99.07,60.07,22.61,25.65,29.54,46.34,33.53,33.35,11.23,25.83,20.52,21.78,18.34,23.78,18.89,6.16,10.37,80.54,46.62,71.59,39.35,29.66,53.06,33.27,11.55,6.51,6.39,16.62,65.51,31.65,52.34,18.47,38.41,21.52
2009-06-03,28.95,22.75,38.68,43.46,137.08,47.74,37.95,26.68,19.53,44.87,25.71,41.04,135.01,31.72,28.42,45.9,11.73,27.37,12.62,85.68,21.54,33.85,21.5,53.37,13.0,26.44,98.75,59.13,22.36,24.66,28.85,44.56,32.82,32.38,11.04,24.34,20.02,21.66,18.3,23.61,15.53,5.94,10.14,78.5,46.71,70.64,39.1,29.48,51.83,33.08,11.24,6.31,6.24,16.3,64.75,31.18,52.87,18.23,37.84,21.09
2009-06-04,29.16,23.47,38.85,45.43,139.79,48.22,40.27,26.74,19.61,44.59,27.19,40.43,141.96,31.93,28.1,45.89,11.95,27.71,12.41,85.52,21.59,34.14,21.8,53.69,13.26,27.39,98.61,60.46,23.26,24.5,28.6,45.48,34.04,32.59,11.69,27.15,20.42,21.84,18.33,23.82,15.4,6.12,9.82,79.2,46.31,71.71,38.87,29.67,52.28,33.51,11.71,6.54,6.59,16.65,65.56,32.43,52.65,18.52,38.33,21.47
2009-06-05,28.55,23.19,39.89,47.3,140.7,48.28,42.3,26.48,19.89,44.38,26.68,39.45,141.53,31.74,28.01,46.07,11.77,27.83,12.3,87.56,21.89,33.65,21.66,54.66,12.93,26.9,99.45,60.09,22.91,23.04,28.45,44.99,34.44,33.51,11.68,28.31,21.11,21.48,17.97,23.46,15.37,6.12,9.93,79.36,46.16,73.12,38.64,29.6,53.47,34.67,11.69,6.36,6.47,16.64,65.55,31.7,52.32,18.71,38.49,21.28
2009-06-08,28.56,23.84,39.66,47.46,139.9,47.64,43.04,26.7,19.81,44.7,27.09,39.71,140.9,31.73,28.43,45.83,11.78,27.55,12.13,86.36,21.92,33.96,21.63,54.44,13.15,26.86,99.68,60.27,23.53,22.37,29.01,44.72,34.53,33.97,11.87,27.48,21.61,21.83,18.05,23.42,15.39,6.14,9.94,79.41,46.12,72.85,39.29,29.68,53.48,34.81,11.88,6.53,6.46,16.19,65.73,32.47,51.32,18.71,38.74,21.17
2009-06-09,28.9,25.03,38.82,47.03,138.8,47.05,45.46,27.03,19.84,44.53,27.36,39.96,141.81,31.42,28.26,45.65,11.79,27.64,11.98,87.08,22.21,34.24,21.5,54.13,13.19,26.95,100.28,60.8,23.78,22.98,29.05,45.19,34.24,34.47,11.87,27.32,22.1,21.84,19.19,23.09,15.32,6.02,10.01,79.08,45.49,71.29,38.78,29.56,52.41,34.27,12.19,6.49,6.48,16.4,65.69,32.35,51.63,18.91,38.45,21.29
